spec,outcome,controls,estimate,std_error,statistic,p_value,n
babina_bottom1,all,full,0.0183480711645671,0.0260262924139305,0.704982133941841,0.486084858547325,49096
babina_bottom1,institutional,full,0.0158277472405905,0.0140562718931597,1.12602739623249,0.268795934040012,49096
babina_bottom1,retail,full,0.0361375098372049,0.0265448096800117,1.36137762043992,0.183208170291047,49096
babina_bottom2,all,full,0.0286565217069912,0.0208230611719055,1.37619159212069,0.178623054225919,49096
babina_bottom2,institutional,full,0.0164477386963986,0.0118783391767569,1.38468336790576,0.176035398445733,49096
babina_bottom2,retail,full,0.0512837681535957,0.0245084700246357,2.0924916203274,0.0446752358923608,49096
babina_continuous,all,full,0.01671988299498,0.0214892979226137,0.778056270390544,0.44283784950845,48996
babina_continuous,institutional,full,0.0141577717717328,0.0128135004602483,1.10491054459746,0.278281503107906,48996
babina_continuous,retail,full,0.0356430417742058,0.0218184604177121,1.63361855473867,0.113150549965116,48996
babina_top1,all,full,0.0484333918655073,0.0289256196873865,1.67441155587852,0.104111196790374,49096
babina_top1,institutional,full,0.0223395559519291,0.0104726899613604,2.13312492151989,0.0409375698926573,49096
babina_top1,retail,full,0.0749355239706656,0.0357660813492014,2.09515611282752,0.0444211911989746,49096
babina_top2,all,full,0.0182750542910483,0.0252044506686084,0.725072509269541,0.473845549069735,49096
babina_top2,institutional,full,0.00955906554818619,0.0103284594515621,0.925507389849943,0.361851256547255,49096
babina_top2,retail,full,0.0379734118017937,0.0311052682943539,1.22080322350688,0.231365094320208,49096
controls_bond_only,all,bond_only,0.0327817413357618,0.0284161117473092,1.15363219385094,0.257468170893213,49096
controls_bond_only,institutional,bond_only,0.0180893693088707,0.0128165968174262,1.41140191632425,0.168084604846845,49096
controls_bond_only,retail,bond_only,0.0553255331169364,0.0330396840793021,1.67451761899852,0.104090191199145,49096
controls_county_only,all,county_only,0.0442882041998027,0.0380932879585188,1.1626248762782,0.253854039760315,49096
controls_county_only,institutional,county_only,0.0448420196018896,0.0262555296944164,1.7079076340793,0.0976507917692921,49096
controls_county_only,retail,county_only,0.0678354826200012,0.0388268222815678,1.74712939750943,0.0905165609395373,49096
controls_full,all,full,0.0286565217069912,0.0208230611719055,1.37619159212069,0.178623054225919,49096
controls_full,institutional,full,0.0164477386963986,0.0118783391767569,1.38468336790576,0.176035398445733,49096
controls_full,retail,full,0.0512837681535957,0.0245084700246357,2.0924916203274,0.0446752358923608,49096
controls_no_continuing_disclosure,all,no_continuing_disclosure,0.0176943310971755,0.0195339449457307,0.905824765367876,0.372015574142292,49096
controls_no_continuing_disclosure,institutional,no_continuing_disclosure,0.0124506632934525,0.0121659217461308,1.02340484784165,0.31403677485952,49096
controls_no_continuing_disclosure,retail,no_continuing_disclosure,0.0434742190981039,0.0235784588914786,1.84381088256009,0.074788223372483,49096
controls_no_county_controls,all,no_county_controls,0.0327817413357618,0.0284161117473092,1.15363219385094,0.257468170893213,49096
controls_no_county_controls,institutional,no_county_controls,0.0180893693088707,0.0128165968174262,1.41140191632425,0.168084604846845,49096
controls_no_county_controls,retail,no_county_controls,0.0553255331169364,0.0330396840793021,1.67451761899852,0.104090191199145,49096
controls_no_insurance,all,no_insurance,0.0243854837061285,0.0220504688544071,1.10589411350565,0.277281186642944,49096
controls_no_insurance,institutional,no_insurance,0.0150848967896618,0.0122625114146291,1.23016373070736,0.227889692966574,49096
controls_no_insurance,retail,no_insurance,0.0476529798917099,0.0254685463153503,1.87105221089862,0.0708030651039474,49096
controls_no_rating,all,no_rating,0.0286490929146434,0.0211309226955956,1.35578996371109,0.18496119768484,49096
controls_no_rating,institutional,no_rating,0.0164550251631797,0.0120612907957808,1.36428392630546,0.182301487757799,49096
controls_no_rating,retail,no_rating,0.0512767974469815,0.0246138241797486,2.08325195924533,0.0455661694492898,49096
controls_no_tax_full,all,no_tax_full,0.0423311717255768,0.0357777894692353,1.18316900942068,0.245736720317453,49096
controls_no_tax_full,institutional,no_tax_full,0.0196648837542642,0.0129211669951377,1.52191235990249,0.138167318450977,49096
controls_no_tax_full,retail,no_tax_full,0.067349688802425,0.0451566809211606,1.49146676479636,0.14594594011246,49096
controls_parsimonious,all,parsimonious,0.0216900109970237,0.0273782188608855,0.792236014593764,0.434244096154642,49096
controls_parsimonious,institutional,parsimonious,0.0140987849607366,0.0129014614190569,1.09280526467421,0.282899224457277,49096
controls_parsimonious,retail,parsimonious,0.047259611643285,0.0322364696349228,1.46602938158238,0.152711248293512,49096
current_low,all,full,0.0178341105262699,0.0228447662135072,0.780665048597664,0.440920352578349,49096
current_low,institutional,full,0.00965107772957174,0.00996299053541911,0.968692853341726,0.340195948054649,49096
current_low,retail,full,0.0382371680082021,0.0280189223286186,1.36469088852666,0.182174806476217,49096
no_tax,all,full,0.0423311717255768,0.0357777894692353,1.18316900942068,0.245736720317453,49096
no_tax,institutional,full,0.0196648837542642,0.0129211669951377,1.52191235990249,0.138167318450977,49096
no_tax,retail,full,0.067349688802425,0.0451566809211606,1.49146676479636,0.14594594011246,49096
