event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities
Bond election,-18,0.592375366568914,0.250920428998883,0.100571325731103,1.08417940740672,682,119
Bond election,-17,0.442815249266865,0.272993560267972,-0.0922521288583597,0.97788262739209,682,119
Bond election,-16,0.565982404692085,0.261949752567231,0.0525608896603115,1.07940391972386,682,119
Bond election,-15,0.485337243401758,0.268522762690855,-0.0409673714723171,1.01164185827583,682,119
Bond election,-14,0.366568914956014,0.21380636848978,-0.0524915672839545,0.785629397195982,682,119
Bond election,-13,0.441348973607041,0.247938549325248,-0.0446105830704446,0.927308530284526,682,119
Bond election,-12,0.570381231671554,0.249759957876848,0.0808517142329316,1.05991074911018,682,119
Bond election,-11,0.589442815249265,0.250048292445403,0.0993481620562756,1.07953746844225,682,119
Bond election,-10,0.592375366568914,0.267835276864996,0.0674182239135211,1.11733250922431,682,119
Bond election,-9,0.482404692082113,0.241205681721633,0.00964155590771137,0.955167828256515,682,119
Bond election,-8,0.549853372434017,0.25939898927074,0.0414313534633657,1.05827539140467,682,119
Bond election,-7,0.667155425219943,0.284291623459201,0.109943843239909,1.22436700719998,682,119
Bond election,-6,0.693548387096777,0.274968513936634,0.154610099780975,1.23248667441258,682,119
Bond election,-5,0.634897360703812,0.261970097515975,0.1214359695725,1.14835875183512,682,119
Bond election,-4,0.774193548387092,0.274831107931442,0.235524576841467,1.31286251993272,682,119
Bond election,-3,0.683284457478004,0.265301930801175,0.1632926731077,1.20327624184831,682,119
Bond election,-2,0.359237536656891,0.194048574291065,-0.0210976689535966,0.73957274226738,682,119
Bond election,-1,0.756598240469213,0.308876106990192,0.151201070768437,1.36199541016999,682,119
Bond election,0,0.565982404692085,0.289319690568439,-0.00108418882205652,1.13304899820623,682,119
Bond election,1,0.450146627565983,0.259436366930082,-0.0583486516169781,0.958641906748944,682,119
Bond election,2,0.458944281524926,0.243423210577366,-0.0181652112067111,0.936053774256564,682,119
Bond election,3,0.577712609970678,0.297314807419325,-0.00502441257119801,1.16044963251255,682,119
Bond election,4,0.357771260997067,0.195925431892782,-0.0262425855127856,0.74178510750692,682,119
Bond election,5,0.530791788856305,0.269007138559236,0.00353779728020187,1.05804578043241,682,119
Bond election,6,0.665689149560118,0.301971467752534,0.0738250727651507,1.25755322635508,682,119
Bond election,7,0.494134897360701,0.284758340387184,-0.0639914497981792,1.05226124451958,682,119
Bond election,8,0.71407624633431,0.299469336526056,0.127116346743241,1.30103614592538,682,119
Bond election,9,0.585043988269794,0.297988674194593,0.000986186848391468,1.1691017896912,682,119
