event_type,event_bin,estimate,standard_error,conf_low,conf_high,observations,cities
Bond election,-18 to -16,0.533724340175954,0.25631415380278,0.0313485987225057,1.0361000816294,682,119
Bond election,-15 to -13,0.431085043988267,0.242043886086338,-0.0433209727409566,0.905491060717489,682,119
Bond election,-12 to -10,0.584066471163244,0.248535838369928,0.096936227958186,1.0711967143683,682,119
Bond election,-9 to -7,0.566471163245359,0.250817430736843,0.0748689990011472,1.05807332748957,682,119
Bond election,-6 to -4,0.700879765395895,0.251013384926791,0.208893530939385,1.19286599985241,682,119
Bond election,-3 to -1,0.599706744868038,0.24378492823039,0.121888285536473,1.0775252041996,682,119
Bond election,0,0.565982404692085,0.289319690568439,-0.00108418882205652,1.13304899820623,682,119
Bond election,1 to 3,0.495601173020526,0.264549992073558,-0.0229168114436482,1.0141191574847,682,119
Bond election,4 to 6,0.518084066471162,0.253280991334319,0.0216533234558966,1.01451480948643,682,119
Bond election,7 to 9,0.597751710654939,0.286083408445339,0.0370282301020743,1.1584751912078,682,119
Bond election,10 to 12,0.586021505376344,0.295044867690944,0.00773356470209363,1.1643094460506,682,119
Bond election,13 to 15,0.58895405669599,0.27119075471309,0.0574201774583337,1.12048793593365,682,119
Bond election,16 to 18,0.573313782991203,0.263297359686477,0.0572509580057074,1.0893766079767,682,119
GO bond issuance,-18 to -16,0.320809248554913,0.166466422939841,-0.00546494040717627,0.647083437517002,346,101
GO bond issuance,-15 to -13,0.359344894026975,0.186423327521743,-0.00604482791564198,0.724734615969592,346,101
GO bond issuance,-12 to -10,0.371868978805395,0.204558293757224,-0.0290652769587635,0.772803234569554,346,101
GO bond issuance,-9 to -7,0.336223506743738,0.177478472299675,-0.0116342989636249,0.684081312451102,346,101
GO bond issuance,-6 to -4,0.323699421965318,0.189370079166573,-0.0474659332011641,0.6948647771318,346,101
GO bond issuance,-3 to -1,0.348747591522159,0.2037670911439,-0.0506359071198856,0.748131090164203,346,101
GO bond issuance,0,0.580924855491328,0.246630017944425,0.0975300203202548,1.0643196906624,346,101
GO bond issuance,1 to 3,0.319845857418113,0.209356236964198,-0.0904923670317146,0.73018408186794,346,101
GO bond issuance,4 to 6,0.356454720616571,0.201824457312256,-0.0391212157154505,0.752030656948593,346,101
GO bond issuance,7 to 9,0.375722543352601,0.214244905101772,-0.0441974706468728,0.795642557352075,346,101
GO bond issuance,10 to 12,0.419075144508672,0.242867543757669,-0.0569452412563594,0.895095530273703,346,101
GO bond issuance,13 to 15,0.417148362235067,0.225256814580911,-0.0243549943435174,0.858651718813652,346,101
GO bond issuance,16 to 18,0.421001926782273,0.220773606330765,-0.0117143416260269,0.853718195190573,346,101
