utgo_only_vote,state,state_ltgo_allowed,observations,mean_utgo_share,mean_ltgo_share,mean_revenue_share
0,AZ,0,20,0.704385010100514,0.0142799701241424,0.281335019775344
0,CO,0,32,0.212101700629101,0.0625452954818404,0.725353003889059
0,MO,0,108,0.52470005245869,0.0254223876095882,0.449877559931721
0,SD,0,16,0.320251600078415,0,0.679748399921585
0,VT,0,1,0.578326458221239,0,0.421673541778761
1,MI,1,235,0.339315183656335,0.557154729727764,0.103530086615901
1,OH,1,170,0.1736623823339,0.704341762903794,0.121995854762306
1,WA,1,90,0.147794952500467,0.487462584126819,0.364742463372715
