model,outcome,estimate,std_error,t_statistic,p_value,observations,adjusted_r_squared,dropped_collinear_variables
utgo_uncontrolled,frac_utgo_outstanding,-0.222707776863522,0.089729095502285,-2.48200180350476,0.0420865541090911,672,0.0547887807080827,""
utgo_controlled,frac_utgo_outstanding,-0.284940383600913,0.13417323229922,-2.1236753316449,0.0713333062221429,672,0.117678965149751,state_ltgo_allowed
ltgo_controlled,frac_ltgo_outstanding,0.464223426232597,0.0352417497963988,13.1725419116401,3.39335751652331e-06,672,0.33089098877463,state_ltgo_allowed
revenue_controlled,frac_rev_outstanding,-0.179283042631676,0.126671189504315,-1.41534190476335,0.199882360355342,672,0.237541266618781,state_ltgo_allowed
