all_go_vote,state,observations,issuers_with_positive_go_revenue_debt,mean_utgo_share,mean_ltgo_share,mean_revenue_share
0,AZ,20,20,0.704385010100514,0.0142799701241424,0.281335019775344
0,CO,32,32,0.212101700629101,0.0625452954818404,0.725353003889058
0,MO,108,108,0.52470005245869,0.0254223876095882,0.449877559931721
0,SD,16,16,0.320251600078415,0,0.679748399921585
0,VT,1,1,0.578326458221239,0,0.421673541778761
1,AK,2,2,0.978583223359174,0,0.0214167766408255
1,AR,47,47,0.0094716945489169,0.0774249926443357,0.913103312806747
1,CA,61,61,0.497247099463646,0.0575007569296496,0.445252143606705
1,FL,73,73,0.290960634604807,0.0464640307192893,0.662575334675904
1,GA,30,30,0.568948617212595,0,0.431051382787405
1,LA,22,22,0.38059701920011,0.000952847504967361,0.618450133294923
1,MT,6,6,0.679367112721088,0.0202912780232368,0.300341609255675
1,NC,43,43,0.615971113962583,0.0137681643195591,0.370260721717858
1,NE,161,161,0.736529093195997,0.0392481441158615,0.224222762688142
1,NM,17,17,0.330480447282422,0,0.669519552717578
1,OR,44,44,0.600305114208916,0.128828138796501,0.270866746994583
1,TX,198,198,0.13968075163598,0.527556260744288,0.332762987619733
1,UT,26,26,0.284183737884705,0,0.715816262115295
1,WV,10,10,0.00390477390099509,0,0.996095226099005
1,WY,1,1,1,0,0
