model,outcome,estimate,std_error,t_statistic,p_value,observations,adjusted_r_squared
utgo_uncontrolled,frac_utgo_outstanding,-0.0699371226760105,0.127993689495571,-0.546410709400094,0.591143150640572,918,0.00259794321716
utgo_controlled,frac_utgo_outstanding,-0.0361466924350268,0.0944726075638187,-0.382615589504172,0.706251394443716,918,0.168673033205531
ltgo_controlled,frac_ltgo_outstanding,0.0151822689364311,0.0596600215747264,0.254479776166603,0.801858831576209,918,0.236359154296829
revenue_controlled,frac_rev_outstanding,0.02096442349857,0.0883016207041536,0.237418331978405,0.814873530424119,918,0.122535787604796
